text,label
ไม่คุ้ม คุณภาพ.. มั้ง!,neg
เครื่องดื่ม คุณภาพแย่ 😡. มั้ง!! สุดๆ,neg
บริการดี ✨.. เลย,pos
ส่งของธรรมดา พอได้ นะะ..,neu
น่าประทับใจ หน้าเว็บ โคตรดี.. ค่่่่ะ~ ครับ,pos
ไม่ดี.. ครรรรับ… เลย,neg
ถูกใจ ราคาา 🤩.. ครับ จริงๆ,pos
ไม่คุ้ม รสชาติ 😞.?! ค่ะ,neg
ไม่มีความเห็น 😐.. ครับ.. ค่ะ,neu
ไม่โอเค พนักงาน 😤 ครับ!! มาก,neg
แย่มาก ส่งของ มากกกกๆ!! ค่ะ,neg
ถูกใจ บริการหลังการขาย 😍.. นะะะ!!! นะ,pos
ประทับใจ มากๆ มั้ง~ นะ,pos
ไม่ตรงปก อาหาร มากๆ.. นะ! เลย,neg
บริการดี 👍 ครััับ!! เลย,pos
ถูกใจ แพ็กของ 😍..~ ค่ะ,pos
ความเร็ว ปานกลาง.. ค่ะ.. ค่ะ,neu
พนักงานกลางๆ ทั่วไป.. ครับ,neu
บริการหลังการขายคุณภาพแย่.. ค่ะ! มาก,neg
ตามราคา แอป.. ค่ะ มั้ง,neu
สะอาด บริการหลังการขาย. ค่ะ!! ครับ,pos
เครื่องดื่ม ปานกลาง ครับ.,neu
ตามราคา บริการหลังการขาย ครับ. ค่ะ,neu
คุ้มค่ามาก อาหาร 😊.~ นะ,pos
คุ้มค่ามาก ส่งของ ✨.. ครับ! ค่ะ,pos
บริการดี สุดๆๆๆ.. ค่ะ จริงๆ,pos
แพ็กของก็พอใช้ได้ พอได้. ครับ. นะ,neu
ยังไม่แน่ใจ มั้้ง.. ครับ,neu
อร่อยมาก โคตรดี.. ค่ะ!!! เลย,pos
เครื่องดื่ม ยังไม่แน่ใจ.. มั้งงง นะ,neu
เกินคาด ✨.! ค่ะ,pos
งงมาก?! สุดๆ,neg
บริการหลังการขายต้องลองอีกสักพัก.. ค่ะ มั้ง,neu
ก็พอใช้ไไได้.. มั้ง,neu
ใช้งานง่าย แอป ที่สุดดด..!! นะ,pos
พนักงานธรรมดา ทั่วไป. มั้ง..,neu
ราคา ตามราคา นะ นะ,neu
ยอดเยี่ยม เครื่องดื่ม โคตรดี.. ครับบบ ค่ะ,pos
เกินคาด.. ค่ะ นะ,pos
บรรยากาศ ใช้ได้ ค่่่ะ.. มั้ง,neu
แพงเกินนนไป นะ…,neg
บริการดี 😊 มัััั้ง~ ครับ,pos
รสชาติงงมากก ครับ?! เลย,neg
แอป รวดเร็ว 😍..!! เลย,pos
ไม่คุ้ม แพ็กของ. นะ?! ค่ะ,neg
บริการดี ✨..~ ค่ะ,pos
น่าประทับใจ บรรยากาศ มากๆ..~ ค่ะ,pos
ใช้งานง่ายยยย ✨.. นนะ,pos
ยอดเยี่ยม พนักงาน ประทับใจมมาก ครับ,pos
เกินคาด มากกกๆ. ค่่่ะ!!! เลย,pos
พนักงาน เป็นมาตรฐานนนน. ค่ะ. ครับ,neu
ไม่คุ้ม แอป 😤. นะ!!! เลย,neg
ความเร็วชอบมาก มากๆ.. ครับ!!,pos
รวดเร็ว โคตรดีีี. มั้ง,pos
ไม่คุ้ม รสชาติ แย่มากๆ. มั้ง! สุดๆ,neg
พนักงานชอบมาก มากๆๆๆๆ ครับ~ นะ,pos
ไม่คุ้ม ราคา 😞 มั้ง?! สุดๆ,neg
ไม่โอเค บรรยากาศศศศ ค่่ะ!!,neg
ไม่ดี สุุุุดๆ ค่ะ… สุดๆ,neg
น่าประทับใจ หน้าเว็บ โคตรดี. ครับ~ จริงๆ,pos
บริการดีี 💯.! ครับ,pos
คุณภาพใช้งานง่าย ที่สุด. ค่ะ!!! จริงๆ,pos
ดีมาก 😊 มั้ง!!! นะ,pos
ถูกใจ อาหาร 🥰. นะ!!,pos
ส่งของ ยอดเยี่ยม 👍!! นะ,pos
ผิดหวัง แอป มากๆๆๆ ค่ะ!! เลย,neg
บริการดี 🥰. นะ~,pos
ปานกลาง 😐.. มั้ง,neu
เฉยๆ แอป กลาาาางๆ..,neu
ธรรมดา.. มัััั้ง.,neu
เป็นมาตรฐาน ส่งของ พอได้. มั้ง. ครับ,neu
ถูกใจ เครื่องดื่ม 💯.. ครับ~ จริงๆ,pos
ไม่โอเค หน้าเว็บ 🤦. นะ?! ค่ะ,neg
พนักงาน ดีมาก 🤩. มั้ง!!! เลย,pos
ถูกใจ คุณภาพ 👍.!!! จริงๆ,pos
คุณภาพตามราคา กลางๆ. มัััั้ง. ครับ,neu
ถูกใจ อาหาร 🤩 นะ! เลย,pos
อร่อยมาาาาก นะ!!! จริงๆ,pos
ไม่คุ้ม แอป 😞!!!,neg
ไม่ตรงปก 🤦.. ครับ! ครับ,neg
พนักงานไม่ดี โคตรแย่.. นะ?!,neg
บริการดี 🥰🥰🥰 ค่ะ! นะ,pos
ห่วย 🤦. คคค่ะ?! เลย,neg
ถูกใจ หน้าเว็บ 😍. ครับ!!,pos
พนักงานเรื่อยๆ ก็โอเคค.. ค่ะ. มั้ง,neu
ช้ามาก ราคา มากกๆ. มั้ง… ค่ะ,neg
แย่มาก ราคา มาาาากๆ. คคค่ะ!! สุดๆ,neg
สะอาด 😊.. มั้ง นะ,pos
ไม่คุ้ม บริการหลังการขาย 🤦.. มั้ง! มาก,neg
ไม่มีความเห็นน 😐 นะ..,neu
ปานกลาง.,neu
เป็นมาตรฐาน หน้าเว็บ กลางๆ.. ค่ะ..,neu
เครื่องดื่มตรงปก สุดๆ ครับ!!!,pos
บริการดี 💯 มั้ง~ นะ,pos
รสชาติไม่คุ้ม.. มั้งงงง! ค่ะ,neg
แอปกลางๆ พอได้... ครับ,neu
ไม่มีความเห็น 🙂. ครับ ค่ะ,neu
ไม่โอเค หน้าเว็บ ครับ!!! มาก,neg
บริการดี คุณภาพ โคตรดี.. ครับ~ เลย,pos
บริการดี พนักงาน เกินคาดจริงๆ ค่ะ จริงๆ,pos
รสชาติ ธรรมดา. มั้ง. นะ,neu
บริการดี 🥰. ค่ะ~ ครับ,pos
กลางๆ บริการหลังการขาย กลางๆ. ค่ะ. นะ,neu
บริการดีีี.. มั้ง ค่ะ,pos
ราคา แพงเกินไป 👎.. ค่ะ… สุดๆ,neg
แพ็กของกลางๆ ก็โอเค.. มั้ง,neu
ไม่โอเค เครื่องดื่มมมม 😞.. ค่ะะะะ… ค่ะ,neg
ไม่โอเค แอปป.. ครับ!! มาก,neg
แพ็กของ ไม่แนะนำำำำ 👎… ค่ะ,neg
แอป คุณภาพแย่ 🤦. นะ!!,neg
ความเร็ว ใช้งานง่าย 🥰. ค่ะ,pos
ไม่โอเค ส่งของ 🤦 ครับ! เลย,neg
ชอบมาก ราคา มากๆ. ครับ ค่ะ,pos
ไม่คุ้ม แอป… มาก,neg
ใช้ได้ ส่งของ มั้ง..,neu
รสชาติ ใช้งานไม่ได้ 😡 นะ!! มาก,neg
ชอบมาก 🤩.. มั้ง! นะ,pos
บริการดี 🤩. มั้ง!!! เลย,pos
เฉยๆ 😐.. นะ มั้ง,neu
คุณภาพดี ✨.. ค่ะ!!! เลย,pos
หน้าเว็บต้องลองอีกสักพัััก..,neu
ไม่ตรงปก เครื่องดื่ม แย่มากๆ. นะ!!! ครับ,neg
ไม่โอเค แอป 🤦 ครับ… ครับ,neg
แย่มาก 😤 นนะ!! มาก,neg
บรรยากาศเฉยๆๆๆๆ. นะ,neu
ใช้งานไม่ได้ มากๆ. มั้งงง! ครับ,neg
บริการดีีี 👍 ค่ะ~ จริงๆ,pos
ใช้งานง่าย ราคา โคตรดี. ค่ะ~ นะ,pos
ใช้ได้. ค่ะ,neu
ต้องลองอีกสักพัก.. นะ ครับ,neu
บริการดี 😍 มั้ง!! เลย,pos
หน้าเว็บแพงเกินไป ที่สุด.!!! มาก,neg
คุ้มค่ามาก คุณภาพ 😍 ค่ะ!!! จริงๆ,pos
ดีมาก ราคา สุดๆ.,pos
ไม่คุ้ม แพ็กของ 💢. มั้งงง!! ค่ะ,neg
ส่งของธรรมดา กลางงงๆ. ค่ะ,neu
ยังไม่แน่่่ใจ. ค่ะ. ค่ะ,neu
หน้าเว็บ ปานกลาง.... นะ,neu
อาหารเฉยๆ ทั่วไปป มั้ง,neu
เครื่องดื่มไม่ตรงปก ผิดหวังมมาก. ค่ะ… สุดๆ,neg
ไม่โอเค บรรยากาศ 😤 ค่ะ!!,neg
ยังไม่แน่ใจ 🙂. ครับ ครับ,neu
คุณภาพดี 👍 ครับ!! ค่ะ,pos
ใช้ได้ พนักงาน พอได้.. ค่ะ นะ,neu
ไม่มีความเห็น ความเร็ว. นะ.. มั้ง,neu
บรรยากาศต้องลองอีกสักพัก พอได้ ค่ะ. ครับ,neu
ราคาไม่มีความเห็น ทั่วไป. มั้ง.. มั้ง,neu
แพ็กของโอเค กลางๆๆๆ.... นะ,neu
แพ็กของธรรมดา พอได้. ครับ. ค่ะ,neu
เรื่อยๆ อาหาร ก็โอออเค..,neu
ไม่โอเค บริการหลังการขาย 👎👎👎.! มาก,neg
คุณภาพ สะอาด 😊.! ค่ะ,pos
ราคายังไม่แน่ใจ กลางๆ นะ. นะ,neu
หน้าเว็บ ดีมาก 😊 มั้ง,pos
พนักงานไม่อร่อย แย่มากกๆ. นะ?! มาก,neg
ไม่มีความเห็น บริการหลังการขาย ทั่วไป.. ค่ะ นะ,neu
น่าประทับใจ 🥰 ครับ~ นะ,pos
คุ้มค่ามาก รสชาติ 😍. นะะะะ!!,pos
ห่ววย นะ! ค่ะ,neg
ถูกใจ บรรยากาศศ 😍 ครับ! ค่ะ,pos
ไม่โอเค พนักงาน 🤦🤦 ค่ะ?! มาก,neg
แพ็กของแพงเกินไป โคตรแย่.. มั้ง!! สุดๆ,neg
งงมาก หน้าเว็บ มากๆ.. นะ!!!,neg
เกินคาด 🤩. นะ ค่ะ,pos
ใช้งานง่าย ราคา เกินคาดจริิิิงๆ ค่ะ!!,pos
ไม่ตรงปก รสชาติ โคตรแแย่… เลย,neg
บริการหลังการขาย คุณภาพดี 🥰. ครับบบ~ เลย,pos
ส่งของงงมาก มากๆ?! มาก,neg
ไม่คุ้ม ส่งของ 💢. มัั้ง!!! ครับ,neg
คุ้มค่า บรรยากาศ สุดๆ.. ค่ะ!!,pos
เรื่อยๆ หน้าเว็บ ทั่วไป.. นะ..,neu
ไม่คุ้ม พนักงาน 😡.. ค่ะ?! ค่ะ,neg
ถูกใจ แพ็กของ 💯 นะ~ เลย,pos
ใช้งานง่าาย นะ เลย,pos
ความเร็วประทับใจจจจ~,pos
บรรยากาศธรรมดา กลางๆๆๆๆ.. ครับ,neu
คุ้มค่ามาก ส่งของ 👍👍👍..~ นะ,pos
ไม่แนะนำ แพ็กของ.. ค่ะะ! ค่ะ,neg
บริการดี.. ค่ะ ค่ะ,pos
รสชาติ ต้องลองอีกสักพัก. ครับ,neu
ตามราคา 🙂.. นะ. ครับ,neu
ไม่คุ้ม เครื่องดื่ม 🤦 ค่ะ…,neg
ถูกใจ บรรยากาศ 😊. นนนนะ!! จริงๆ,pos
แพงเกินไป อาหาร ที่สุด.. นะ! มาก,neg
บริการดี 😊.~ นะ,pos
ไม่ตรงปก แย่มากๆ. ค่ะ! สุดๆ,neg
กลางๆ.. ครับ ค่ะ,neu
ไม่คุ้ม รสชาติ..!!!,neg
โออเค. นะ ค่ะ,neu
เรื่อยๆ เครื่องดื่ม กลางๆ.. นะ นะ,neu
แอปไม่อร่อย มากๆ..?! มาก,neg
ธรรมดา.. ครับ. มั้ง,neu
ประทับใจ ราคา มากๆ.. มั้ง~ ครับ,pos
ไม่โอเค บริการหลังการขาย 😡😡😡.!! มาก,neg
กลางๆ 😐😐. ครัับ.. นะ,neu
เกินคาด ประทับใจมาก ครับ!!! นะ,pos
คุ้มค่ามาก รสชาติ 😊..!! ครับ,pos
ราคา คุณภาพแย่ 😞.. ครับ!!! สุดๆ,neg
ไม่คุ้ม ราคาา 😤. มั้ง?! สุดๆ,neg
คุ้มค่ามาก รสชาติ ครัับ ค่ะ,pos
แพงเกินไป แย่มากๆ. ครับ?! ค่ะ,neg
ไม่โอเค เครื่องดื่ม.. ค่ะ?! ครับ,neg
ใช้ได้ 😐. ครับ.. ครับ,neu
ไม่โอเค บรรยากาศ 💢! สุดๆ,neg
ไม่โอเค ส่งของ 🤦 มัััั้ง?! สุดๆ,neg
แอปสะอาด สุดๆ.. นะ ค่ะ,pos
ก็พอใช้ได้ ค่ะ. นะ,neu
ยังไม่แน่ใจ ความเร็ว ก็โอเคคค. มั้ง,neu
โอเค 🙂.. นะ,neu
ไม่คุ้ม ความเร็ว 🤦 ครับ! ค่ะ,neg
บริการแย่ พนักงาน โคตรแย่..… สุดๆ,neg
อาหาร ยังไม่แน่ใจ ครััับ..,neu
แพ็กของ ปานกลาง.. ครับ,neu
แย่ลลง. นะ!! เลย,neg
ไม่โอเค แพ็กของ 😡 ค่ะะะะ!!! ครับ,neg
ดีมากกกก ✨. ค่ะ~ จริงๆ,pos
ไม่มีความเห็น มั้ง.. ครับ,neu
พนักงาน บริการดี. มั้ง~ ค่ะ,pos
ก็พอใช้ได้ 😐 นนนะ.. มั้ง,neu
อาหาร ปานกลาง. มั้ง นะ,neu
แย่ลง.. ครับ… มาก,neg
คุณภาพ ไม่อร่อย 🤦 ครรรรับ! สุดๆ,neg
คุณภาพไม่อร่อย. มั้ง!,neg
ไม่โอเค แอป 😞..!!!,neg
บริการดี 🤩 ครับ!!! ค่ะ,pos
ปานกลาาาาง.. ครับ. นะ,neu
ตามราคา.. มั้ง. มั้ง,neu
บริการดีีี 😊 ค่ะ!!,pos
คุ้มค่ามาก รสชาติ 🥰. ครับ!!! นะ,pos
โอเค 🙂 มั้ง มั้ง,neu
บริการดี 😊. นะ!!!,pos
บริการดี 😍 มั้ง~ ครับ,pos
ไม่แนะนำ มากๆ..?! สุดๆ,neg
เฉยๆ. มั้ง.. ค่ะ,neu
คุณภาพแพงเกินไป.. มั้ง!!! เลย,neg
ยอดเยี่ยม บริการหลังการขาย โคตรดี.. ครับ,pos
แย่มาก ที่สุุด.. ครับบบบ?! เลย,neg
ใช้ได้ ครรับ..,neu
ห่วย เครื่องดื่ม แย่มากๆ. นะ?! สุดๆ,neg
บริการแย่ 🤦.. มั้ง?! ครับ,neg
คุ้มค่ามาก บรรยากาศ 👍. ค่ะ!! นะ,pos
ยังไม่แน่ใจจ.. ครับ.. ครับ,neu
บริการดี 🥰.. นะ,pos
ไม่แนะนำ มากๆ นะ?! เลย,neg
คุ้มค่ามาก พนักงานนนน 💯!!! เลย,pos
ราคา ไม่มีความเห็็็็น..,neu
บริการหลังการขายตามราคคคา.. นะ.. ค่ะ,neu
บรรยากาศ ไม่อร่อย.. นะ! ค่ะ,neg
รสชาติคุณภาพดี เกินคาดจริงๆ ครััับ~ ค่ะ,pos
ราคารวดเร็ว โคตรดี ค่ะ!!! ค่ะ,pos
แพ็กของตามราคา ทั่วไป. ค่ะ,neu
คุ้มค่ามาก แพ็กของ 💯.. ค่ะ!!! ครับ,pos
บริการดี 🤩!!! เลย,pos
คุ้มค่ามาก ความเร็ว 👍👍.!!! ค่ะ,pos
ไม่โอเค หน้าเว็บ 👎.. ครับบบ!!,neg
คุณภาพคุณภาพแย่ สุดๆ.. ครััับ!!! เลย,neg
แอป บริการดี 😊~,pos
แอป ใช้ไได้้ ครับ,neu
ตรงปก คุณภาพ โคตรดี.. จริงๆ,pos
ไม่ตรงปก 🤦!,neg
เฉยๆ ราคา ก็โอเค. ครัััับ มั้ง,neu
ดีมาก 🥰. มั้ง~ จริงๆ,pos
แพ็กของผิดหวัง ผิดหวังมาก ค่ะ!! เลย,neg
กลางๆ แพ็กของ ทั่ววไป...,neu
บรรยากาศโอเค นะ. ค่ะ,neu
ธรรมดา บริการหลังการขาย พอได้. ครับ.,neu
ต้องลองอีกสักพัก. ครับ. ครับ,neu
อาหาร ธรรมดา. มั้ง. นะ,neu
แย่ลง สุดๆ ครับบบบ!!! สุดๆ,neg
กลางๆ 🙂🙂🙂🙂 นะ.. นะ,neu
ตามราคคา. มั้ง. นะ,neu
โอเค.. ค่ะะะะ. ค่ะ,neu
หน้าเว็บก็พอใช้ได้ กลางๆ. มั้ง มั้ง,neu
บริการหลังการขายแย่ลง ที่สุด มั้ง?! ค่ะ,neg
หน้าเว็บใช้งานง่าย เกินคาดจริงงๆ. นะ!! จริงๆ,pos
คุ้มค่ามาก ความเร็ว ✨.. จริงๆ,pos
คุณภาพดี 💯~ จริงๆ,pos
บริการดี 🤩. ครับ~ ค่ะ,pos
ตามราคา 😐 นะ. ค่ะ,neu
อร่อยมาก ประทับใจมาก. ครับ!! จริงๆ,pos
บริการแย่ บริการหลังการขาย มากๆ..?! เลย,neg
ไม่โอเค เครื่องดื่ม 👎.. ค่ะ!!! เลย,neg
ยอดเยี่ยม 🤩.. มั้ง!!! ครับ,pos
ไม่คุ้ม แอป 👎.. ครับ!! ครับ,neg
คุณภาพ เรื่อยๆ.. ครับ,neu
แย่ลง แย่มากๆๆๆ นะ!! สุดๆ,neg
ก็พอใช้ได้. ค่่่ะ นะ,neu
พนักงานไม่ดี ผิดหวังมาก. นนนะ?! ค่ะ,neg
ใช้ได้ แพ็กของ กลางๆ. ค่่ะ ครับ,neu
ไม่ตรงปก 🤦🤦🤦🤦. มััั้ง!!! เลย,neg
เป็นมาตรฐาน... ค่ะ,neu
ไม่ดี ราคา โคตรแย่. ครับ?! เลย,neg
เฉยๆ.. ครับบบบ นะ,neu
ไม่โอเค พนักงาน 🤦 มั้ง! เลย,neg
แนะนำเลย 👍.!! ครับ,pos
ยังไม่แน่ใจ บริการหลังการขาย พอได้. ครับ. ครับ,neu
เครื่องดื่มปานกลลาง คค่ะ นะ,neu
ไม่คุ้ม แพ็กของ แย่มากๆ.?! เลย,neg
ไม่คุ้ม รสชาติ 🤦.. ครรับ?!,neg
ไม่โอเค อาหาร 🤦 มััั้ง… สุดๆ,neg
บริการหลังการขาย แพงเกินไป 😤.. ค่ะ?!,neg
ผิดหวัง 🤦. ครัััับ!!! ค่ะ,neg
ประทับใจ ประทับใจมาก.. ครับ จริงๆ,pos
งงมาก อาหาร โคตรแย่. นนนะ!! เลย,neg
ปานกลาง 🙂... ค่ะ,neu
งงมาก!! ครับ,neg
ไม่อร่อย 😤..… ค่ะ,neg
พนักงาน คุณภาพดี 😍.. นะ! ค่ะ,pos
อร่อยมากกก 🥰 จริงๆ,pos
แอป ไม่ตรงปก 😤..!! ครับ,neg
สะอาด โคตรดี. ครับบบ~ ค่ะ,pos
ตรงปก 😍.. นนะ~,pos
เรื่อยๆ เครื่องดื่ม. นนนะ.,neu
ไม่คุ้ม หน้าเว็บ ที่สุด ค่ะ!!! สุดๆ,neg
ดีมาก 💯💯. มั้ง! จริงๆ,pos
ความเร็วกลางๆ.. ครับ..,neu
เรื่อยๆ ค่ะ. ค่ะ,neu
พนักงานงงมาก ผิดหวังมากกกก.!! ค่ะ,neg
ตามราคา พนักงาน กลางๆ.. ค่ะ ค่ะ,neu
ไม่คุ้ม ความเร็ว 🤦 ครับ!! สุดๆ,neg
เรื่ออยๆ ค่่ะ.. มั้ง,neu
ไม่ดี ที่สุด.. มั้งงง!,neg
ธรรมดา บริการหลังการขาย กลาางๆ.. นะ.. นะ,neu
ก็พอใช้ไได้.. มั้ง,neu
พนักงานไม่แนะนำ ผิดหวังมาก. ค่ะ! ค่ะ,neg
อาหารยังไม่แน่ใจ พอได้. ค่ะ. นะ,neu
ปานกลาง หน้าเว็บ กลางๆ. ครรับ. มั้ง,neu
คุ้มค่ามาก แอป.. ครับ!!! จริงๆ,pos
หน้าเว็บ แย่ลง 💢 ค่ะ… มาก,neg
เครื่องดื่มใช้งานง่าย ประทับใจมมาก. นะ~ นะ,pos
บรรยากาศกลางๆ ทั่วไป.. ค่ะ ครับ,neu
คุณภาพดีี. นะ,pos
คุณภาพดี เกินคาดจริงๆ ค่ะ!! จริงๆ,pos
ราคาอร่อยมาก..!!! เลย,pos
ใช้งานไม่ได้ 😞.?! สุดๆ,neg
ธรรมดา 😐.. มั้ง. มั้ง,neu
ปานกลาง แอป. ครับ.,neu
แนะนำเลย. ค่ะ~ เลย,pos
แพงเกินไป ที่สุุด. ครับบ! มาก,neg
ชอบมาก รสชาติ ประทับใจมาก.. ค่ะ,pos
บริการหลังการขายไม่แนะนำ สุดๆ.. มั้ง!! ครับ,neg
คุ้มค่ามาก อาหาร ✨. นะะ! ค่ะ,pos
ไม่แนะนำ ส่งของ ที่สุด. ค่ะ… มาก,neg
บริการหลังการขายกลางๆ.. ค่ะ. ค่ะ,neu
เฉยๆ 🙂.. นนนะ มั้ง,neu
แอปตามราคา. ค่ะ.,neu
หน้าเว็บ ปานกลาง.. มั้ง.,neu
กลางๆ 🙂. ครับบบบ มั้ง,neu
บริการแย่ แย่มากๆ มัััั้ง!!! สุดๆ,neg
ความเร็ว แนะนำเลย ✨ ครรรรับ~ ครับ,pos
ตรงปก เกินคาดจริงๆ. นะ!!! ค่ะ,pos
แนะนำเลย.. ครับ,pos
ยอดเยี่ยม รสชาติ มากๆ.. นะ!! ค่ะ,pos
คุ้มค่ามาก ราคา 🥰 ครับ!!!,pos
ธรรมดา อาหาร ทั่วไป.... ครับ,neu
ถูกใจ บริการหลังการขาย 💯.. มั้ง! จริงๆ,pos
สะอาด บรรยากาศ.. มั้ง!! เลย,pos
ถูกใจ แอป. ครับ!!,pos
โอเเเเค.. มัััั้ง.. นะ,neu
เครื่องดื่มสะอาด โคตรดี. ค่ะ ครับ,pos
พนักงาน ก็พอใช้ได้ ค่ะ. ค่ะ,neu
อร่อยมาก 👍👍 มั้ง ค่ะ,pos
บริการดี ✨.. นะ~ ครับ,pos
ราคาแพงเกินไป โคตรแแย่. นะะะะ… มาก,neg
ไม่คุ้ม รสชาติ 😞!!! สุดๆ,neg
แย่ลง 👎 ค่ะ! สุดๆ,neg
คุ้มค่า พนักงาน ประทับใจมาก ค่ะ ค่ะ,pos
บริการแย่ แย่มากกกกๆ. ค่ะะะ!,neg
บริการหลังการขาย ตามราคา. ค่ะ.. ครับ,neu
เรื่อยๆ 🙂.. ค่ะ. ค่ะ,neu
เป็นมาตรฐฐฐฐาน.. คคค่ะ. นะ,neu
ไม่โอเค อาหาร 😤.!! มาก,neg
แอปแย่มาก มากๆ!! ครับ,neg
แอปต้องลองอีกสักพัก ทั่วไป. นะ. นะ,neu
โอเค.. ครับ,neu
ใช้ได้ แพ็กของง.,neu
ผิดหวัง เครื่องดื่ม ที่สุด ค่ะ?! เลย,neg
เครื่องดื่ม คุ้มคค่า. ครับ ครับ,pos
ไม่โอเค บรรยากาศ 🤦 นะ!!! เลย,neg
สะอาด โคตรดี ครรับ~ นะ,pos
คุณภาพแย่ แอป สุดๆ.. ครับ!! เลย,neg
ไม่คุ้ม 🤦 นะ!!! ครับ,neg
รสชาติโอเค ก็โอเค.. มั้งงง..,neu
ไม่ดี ส่งของ ผิดหวังมาก.. นะ?! เลย,neg
ปานกลาง 😐. ครรับ.,neu
ไม่โอเค ราคา 😤… สุดๆ,neg
สะอาด หน้าเว็บ. มั้ง!!! ค่ะ,pos
เรื่อยๆ. นะ,neu
ใช้งานง่าย 👍!! เลย,pos
ไม่โอเค บรรยากาศ 💢 มั้ง?! ครับ,neg
รสชาติเป็นมาตรฐาน ทั่วไป.. คคค่ะ.. ครับ,neu
พนักงาน บริการดีี 🥰.. มั้ง! จริงๆ,pos
ไม่โอเค เครื่องดื่ม 😤.. มั้้้้ง…,neg
ตรงปกก.. ค่ะ! จริงๆ,pos
ปานกลาง พนักงาน ก็โอเค.. ครับ นะ,neu
ความเร็ว แพงเกินไป 💢 นะ…,neg
แพ็กของรวดเร็ว ที่สุด ค่ะ! นะ,pos
ยังไม่แน่ใจ 😐😐😐😐. ค่ะ.. ครับ,neu
แอป ก็พอใช้ได้ นะ. ค่ะ,neu
ต้องลองอีกสักพัก ครับ. มั้ง,neu
โอเค 😐😐😐😐.. มั้ง,neu
แย่มาก คุณภาพ มั้ง… มาก,neg
ถูกใจ พนักงาน 💯. นะ ค่ะ,pos
ผิดหวังงง..!!! มาก,neg
